plant,species,PAM,time,treatment,CO2
C45,cas,0.847,end,flooded,0
C46,cas,0.850,end,recovery,0
C47,cas,0.898,end,control,0
C48,cas,0.888,end,recovery,0
E1,euc,0.859,end,flooded,1
E2,euc,0.807,end,control,1
E3,euc,0.816,end,control,1
E4,euc,0.827,end,recovery,1
E5,euc,0.809,end,control,1
E6,euc,0.790,end,flooded,1
E7,euc,0.886,end,recovery,1
E8,euc,0.935,end,recovery,1
E9,euc,0.748,end,recovery,1
E10,euc,0.923,end,flooded,1
E11,euc,0.881,end,flooded,1
E12,euc,0.874,end,flooded,1
E13,euc,0.899,end,recovery,0
E14,euc,0.900,end,flooded,0
E15,euc,0.845,end,flooded,0
E16,euc,0.794,end,control,0
E17,euc,0.959,end,control,0
E18,euc,0.835,end,recovery,0
E19,euc,0.925,end,recovery,0
E20,euc,0.898,end,control,0
E21,euc,0.863,end,recovery,0
E22,euc,0.804,end,flooded,0
E23,euc,0.846,end,flooded,0
E24,euc,0.789,end,control,0
E25,euc,0.820,end,recovery,1
E26,euc,0.825,end,flooded,1
E27,euc,0.803,end,flooded,1
E28,euc,0.818,end,flooded,1
E29,euc,0.809,end,recovery,1
E30,euc,0.909,end,recovery,1
E31,euc,0.823,end,flooded,1
E32,euc,0.931,end,flooded,1
E33,euc,0.873,end,control,1
E34,euc,0.826,end,control,1
E35,euc,0.839,end,recovery,1
E36,euc,0.845,end,control,1
E37,euc,0.837,end,flooded,0
E38,euc,0.858,end,control,0
E39,euc,0.857,end,control,0
E40,euc,0.858,end,flooded,0
E41,euc,0.821,end,recovery,0
E42,euc,0.793,end,recovery,0
E43,euc,0.911,end,flooded,0
E44,euc,0.953,end,control,0
E45,euc,0.812,end,flooded,0
E46,euc,0.864,end,recovery,0
E47,euc,0.872,end,flooded,0
E48,euc,0.854,end,recovery,0
A1,acacia,0.910,recovered,recovery,1
A2,acacia,0.815,recovered,control,1
A3,acacia,NA,recovered,flooded,1
A4,acacia,0.826,recovered,recovery,1
A5,acacia,0.834,recovered,recovery,1
A6,acacia,0.850,recovered,control,1
A7,acacia,0.856,recovered,control,1
A8,acacia,0.828,recovered,recovery,1
A9,acacia,NA,recovered,flooded,1
A10,acacia,0.966,recovered,control,1
A11,acacia,NA,recovered,flooded,1
A12,acacia,NA,recovered,flooded,1
A13,acacia,NA,recovered,flooded,0
A14,acacia,NA,recovered,flooded,0
A15,acacia,0.952,recovered,control,0
A16,acacia,0.892,recovered,recovery,0
A17,acacia,0.422,recovered,recovery,0
A18,acacia,0.851,recovered,recovery,0
A19,acacia,NA,recovered,flooded,0
A20,acacia,NA,recovered,flooded,0
A21,acacia,0.837,recovered,control,0
A22,acacia,0.799,recovered,control,0
A23,acacia,NA,recovered,recovery,0
A24,acacia,NA,recovered,flooded,0
A25,acacia,0.730,recovered,recovery,1
A26,acacia,0.810,recovered,control,1
A27,acacia,NA,recovered,flooded,1
A28,acacia,0.936,recovered,recovery,1
A29,acacia,0.843,recovered,control,1
A30,acacia,0.857,recovered,control,1
A31,acacia,0.884,recovered,recovery,1
A32,acacia,NA,recovered,flooded,1
A33,acacia,0.849,recovered,control,1
A34,acacia,NA,recovered,flooded,1
A35,acacia,0.822,recovered,recovery,1
A36,acacia,NA,recovered,flooded,1
A37,acacia,0.803,recovered,control,0
A38,acacia,NA,recovered,flooded,0
A39,acacia,0.931,recovered,control,0
A40,acacia,0.869,recovered,recovery,0
A41,acacia,0.876,recovered,recovery,0
A42,acacia,NA,recovered,flooded,0
A43,acacia,NA,recovered,flooded,0
A44,acacia,0.851,recovered,control,0
A45,acacia,0.878,recovered,recovery,0
A46,acacia,0.835,recovered,recovery,0
A47,acacia,0.800,recovered,control,0
A48,acacia,NA,recovered,flooded,0
C1,cas,0.836,recovered,control,1
C2,cas,0.854,recovered,recovery,1
C3,cas,NA,recovered,flooded,1
C4,cas,0.809,recovered,control,1
C5,cas,NA,recovered,flooded,1
C6,cas,0.802,recovered,recovery,1
C7,cas,NA,recovered,flooded,1
C8,cas,0.836,recovered,control,1
C9,cas,0.888,recovered,control,1
C10,cas,0.863,recovered,recovery,1
C11,cas,0.871,recovered,recovery,1
C12,cas,NA,recovered,flooded,1
C13,cas,0.801,recovered,recovery,0
C14,cas,0.963,recovered,control,0
C15,cas,0.802,recovered,recovery,0
C16,cas,0.925,recovered,control,0
C17,cas,0.765,recovered,recovery,0
C18,cas,0.898,recovered,recovery,0
C19,cas,NA,recovered,flooded,0
C20,cas,0.754,recovered,control,0
C21,cas,NA,recovered,flooded,0
C22,cas,NA,recovered,flooded,0
C23,cas,NA,recovered,flooded,0
C24,cas,NA,recovered,flooded,0
C25,cas,0.932,recovered,control,1
C26,cas,0.809,recovered,recovery,1
C27,cas,NA,recovered,flooded,1
C28,cas,0.907,recovered,recovery,1
C29,cas,0.926,recovered,recovery,1
C30,cas,NA,recovered,flooded,1
C31,cas,0.932,recovered,control,1
C32,cas,NA,recovered,flooded,1
C33,cas,0.852,recovered,recovery,1
C34,cas,NA,recovered,flooded,1
C35,cas,0.911,recovered,control,1
C36,cas,NA,recovered,flooded,1
C37,cas,0.942,recovered,control,0
C38,cas,NA,recovered,flooded,0
C39,cas,NA,recovered,flooded,0
C40,cas,NA,recovered,flooded,0
C41,cas,0.852,recovered,control,0
C42,cas,0.748,recovered,control,0
C43,cas,0.796,recovered,recovery,0
C44,cas,0.875,recovered,recovery,0
C45,cas,NA,recovered,flooded,0
C46,cas,0.940,recovered,recovery,0
C47,cas,0.780,recovered,control,0
C48,cas,0.870,recovered,recovery,0
E1,euc,NA,recovered,flooded,1
E2,euc,0.880,recovered,control,1
E3,euc,0.855,recovered,control,1
E4,euc,0.892,recovered,recovery,1
E5,euc,0.640,recovered,control,1
E6,euc,NA,recovered,flooded,1
E7,euc,0.890,recovered,recovery,1
E8,euc,0.837,recovered,recovery,1
E9,euc,0.894,recovered,recovery,1
E10,euc,NA,recovered,flooded,1
E11,euc,NA,recovered,flooded,1
E12,euc,NA,recovered,flooded,1
E13,euc,0.919,recovered,recovery,0
E14,euc,NA,recovered,flooded,0
E15,euc,NA,recovered,flooded,0
E16,euc,0.890,recovered,control,0
E17,euc,0.837,recovered,control,0
E18,euc,0.939,recovered,recovery,0
E19,euc,0.899,recovered,recovery,0
E20,euc,0.900,recovered,control,0
E21,euc,0.810,recovered,recovery,0
E22,euc,NA,recovered,flooded,0
E23,euc,NA,recovered,flooded,0
E24,euc,0.890,recovered,control,0
E25,euc,0.874,recovered,recovery,1
E26,euc,NA,recovered,flooded,1
E27,euc,NA,recovered,flooded,1
E28,euc,NA,recovered,flooded,1
E29,euc,0.820,recovered,recovery,1
E30,euc,0.827,recovered,recovery,1
E31,euc,NA,recovered,flooded,1
E32,euc,NA,recovered,flooded,1
E33,euc,0.855,recovered,control,1
E34,euc,0.829,recovered,control,1
E35,euc,0.853,recovered,recovery,1
E36,euc,0.825,recovered,control,1
E37,euc,NA,recovered,flooded,0
E38,euc,0.816,recovered,control,0
E39,euc,0.926,recovered,control,0
E40,euc,NA,recovered,flooded,0
E41,euc,0.812,recovered,recovery,0
E42,euc,0.828,recovered,recovery,0
E43,euc,NA,recovered,flooded,0
E44,euc,0.882,recovered,control,0
E45,euc,NA,recovered,flooded,0
E46,euc,0.899,recovered,recovery,0
E47,euc,NA,recovered,flooded,0
E48,euc,0.859,recovered,recovery,0
