plant,treatment,CO2,species,rootLength,shootLength,rootDensity,rootDMC,freshCoarseRootMass,freshFineRootMass,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,stemDensity,stemDMC,SLA,LDMC,freshShootBiomass,dryShootBiomass,shootDMC
A41,recovery,A,acacia,85.5,40,0.398071625,0.359006211,10.199,10.254,2.045,1.126,0.200509854,0.109810806,0.482673267,0.419806243,31.6451049,0.414335664,25.076,9.323,0.371789759
A42,flooded,A,acacia,59,52.5,0.435406699,0.38559322,3.428,2.304,0.856,0.378,0.249708285,0.1640625,0.518424396,0.434968017,22.05703422,0.353612167,11.497,5.284,0.459598156
A43,flooded,A,acacia,53.5,54.3,0.402777778,0.311827957,1.587,1.623,0.322,0.288,0.202898551,0.177449168,0.435435435,0.369897959,22.41540404,0.295454545,17.666,1.879,0.106362504
A44,control,A,acacia,78,64.3,0.408743928,0.375159236,22.399,21.495,4.217,2.228,0.188267333,0.103652012,0.485654304,0.426289926,29.90374332,0.385026738,38.296,14.561,0.380222478
A45,recovery,A,acacia,74,36.5,0.408382066,0.38229927,11.573,11.944,2.709,1.402,0.234079323,0.117381112,0.496694215,0.434562545,28.72175981,0.409036861,24.109,10.036,0.416276079
A46,recovery,A,acacia,45.5,41,0.370068027,0.343434343,8.365,4.957,1.674,0.632,0.200119546,0.12749647,0.48372093,0.421052632,28.45054945,0.391208791,18.485,6.962,0.3766297
A47,control,A,acacia,73.5,44.5,0.361974406,0.337308348,15.147,23.951,2.719,3.012,0.179507493,0.125756753,0.448809524,0.40712743,29.54133858,0.38976378,33.347,11.66,0.349656641
A48,flooded,A,acacia,70,39.5,0.470588235,0.429447853,8.358,1.293,1.829,0.247,0.218832257,0.191028616,0.546816479,0.486126526,25.47457627,0.421307506,11.738,8.519,0.725762481
C1,control,E,cas,78,84.5,0.420608899,0.375732218,24.94,24.913,9.388,6.755,0.376423416,0.27114358,0.458519179,0.403929273,15.80484262,0.339467312,62.055,24.213,0.390186125
C2,recovery,E,cas,PHOTO,PHOTO,0.335652174,0.300623053,16.596,21.391,2.944,3.364,0.177392143,0.1572624,0.423864648,0.376582278,20.20493151,0.390684932,26.775,9.829,0.367096172
