plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
A29,4,control,E,acacia,5.093,4.479,0.24232764,0.213835577,26.68007149,0.363717605,11.537,0.350009101,9.572,0.060219101,0.025162921,0.02861236,0.053775281,0.453455872,0.170859816,21.109,0.467927288,0.439572193,0.491039427,0.398273736,0.370558376
A30,4,control,E,acacia,2.911,2.185,0.227991855,0.134652123,31.5426787,0.338653713,12.644,0.327734578,5.096,0.06552809,0.012275281,0.016353933,0.028629213,0.287260428,0.171927219,17.74,0.428767661,0.430446194,0.476744186,NA,0.335358445
A31,4,recovery,E,acacia,3.69,0.73,0.195475976,0.096509783,26.97347894,0.446957878,9.179,0.430232013,4.42,0.045449438,0.004101124,0.020730337,0.024831461,0.325023899,0.156083941,13.599,0.165158371,0.491897045,0.567032967,0.306306306,0.37413925
A32,4,waterlogged,E,acacia,2.029,0.885,0.217330763,0.136637332,26.05532787,0.43442623,9.524,0.412187311,2.914,0.054618421,0.005822368,0.013348684,0.019171053,0.234282039,0.172563386,12.438,0.303706246,0.459677419,0.514175258,0.400343643,0.339477727
A33,4,control,E,acacia,6.728,2.828,0.307974,0.209652309,27.00195122,0.388292683,15.147,0.384851873,9.556,0.078938202,0.01588764,0.037797753,0.053685393,0.386835607,0.183664543,24.703,0.295939724,0.479725086,0.5584,0.403560831,0.526283988
A34,4,waterlogged,E,acacia,1.821,0.764,0.214765892,0.191815215,20.60447761,0.39800995,6.319,0.351348346,2.585,0.035631579,0.005026316,0.011980263,0.017006579,0.290318958,0.195247934,8.904,0.295551257,0.416428571,0.605399792,0.391927083,0.299337748
A35,4,recovery,E,acacia,2.198,1.673,0.215998428,0.134054487,28.49635036,0.419708029,6.645,0.402776094,3.871,0.033382022,0.009398876,0.012348315,0.021747191,0.368105744,0.264224138,10.516,0.432188065,0.458974359,0.522627737,0.412765957,0.398273736
A36,4,waterlogged,E,acacia,0.313,0.15,0.220112518,0.118017309,27.44540728,0.285961872,1.4,0.267073636,0.463,0.007184211,0.000986842,0.002059211,0.003046053,0.248523886,0.155038381,1.863,0.323974082,0.379310345,NA,0.398071625,NA
A37,5,control,A,acacia,2.662,0.804,0.181002244,0.107214295,26.09013283,0.25142315,7.497,0.273803002,3.466,0.038595506,0.004516854,0.014955056,0.01947191,0.316154337,0.215282624,10.963,0.231967686,0.385927505,0.400885936,0.435406699,0.306306306
A38,5,waterlogged,A,acacia,1.259,0.531,0.214809759,0.11768617,25.56083803,0.35455278,6.628,0.306937112,1.79,0.037789474,0.003493421,0.008282895,0.011776316,0.212639582,0.190031153,8.418,0.296648045,0.404371585,0.455852156,0.402777778,0.400343643
A39,5,control,A,acacia,4.432,5.226,0.172203443,0.194651371,26.92,0.448484848,3.519,0.072461082,9.658,0.010601124,0.029359551,0.024898876,0.054258427,0.732943766,0.146831002,13.177,0.541105819,0.448631354,0.506827309,0.408743928,0.403560831
A40,5,recovery,A,acacia,2.643,1.648,1.009163803,0.120989648,30.42038217,0.373673036,11.129,0.398431906,4.291,0.058404494,0.009258427,0.014848315,0.024106742,0.278274968,0.174809712,15.42,0.38405966,0.434138737,0.497321429,0.408382066,0.412765957
A41,5,recovery,A,acacia,2.045,1.126,0.200509854,0.109810806,31.6451049,0.414335664,9.323,0.371789759,3.171,0.048853933,0.006325843,0.011488764,0.017814607,0.253801825,0.173097133,12.494,0.355093031,0.419806243,0.482673267,0.370068027,0.398071625
A42,5,waterlogged,A,acacia,0.856,0.378,0.249708285,0.1640625,22.05703422,0.353612167,5.284,0.459598156,1.234,0.029631579,0.002486842,0.005631579,0.008118421,0.189321878,0.146580388,6.518,0.306320908,0.434968017,0.518424396,0.361974406,0.435406699
A43,5,waterlogged,A,acacia,0.322,0.288,0.202898551,0.177449168,22.41540404,0.295454545,1.879,0.106362504,0.61,0.009868421,0.001894737,0.002118421,0.004013158,0.245078345,0.215107243,2.489,0.472131148,0.369897959,0.435435435,0.470588235,0.402777778
A44,5,control,A,acacia,4.217,2.228,0.188267333,0.103652012,29.90374332,0.385026738,14.561,0.380222478,6.445,0.076691011,0.012516854,0.023691011,0.036207865,0.3068171,0.183162991,21.006,0.345694337,0.426289926,0.485654304,0.421463415,0.408743928
A45,5,recovery,A,acacia,2.709,1.402,0.234079323,0.117381112,28.72175981,0.409036861,10.036,0.416276079,4.111,0.051073034,0.007876404,0.015219101,0.023095506,0.290591645,0.173326932,14.147,0.341036244,0.434562545,0.496694215,0.393145161,0.408382066
A46,5,recovery,A,acacia,1.674,0.632,0.200119546,0.12749647,28.45054945,0.391208791,6.962,0.3766297,2.306,0.034191011,0.003550562,0.009404494,0.012955056,0.24881312,0.185777724,9.268,0.27406765,0.421052632,0.48372093,0.342052314,0.370068027
A47,5,control,A,acacia,2.719,3.012,0.179507493,0.125756753,29.54133858,0.38976378,11.66,0.349656641,5.731,0.061162921,0.016921348,0.015275281,0.032196629,0.329538267,0.17750881,17.391,0.525562729,0.40712743,0.448809524,0.42208589,0.361974406
A48,5,waterlogged,A,acacia,1.829,0.247,0.218832257,0.191028616,25.47457627,0.421307506,8.519,0.725762481,2.076,0.049730263,0.001625,0.012032895,0.013657895,0.195941482,0.197909156,10.595,0.118978805,0.486126526,0.546816479,0.298611111,0.470588235
C1,2,control,E,cas,9.388,6.755,0.376423416,0.27114358,15.80484262,0.339467312,24.213,0.390186125,16.143,0.124911111,0.037527778,0.052155556,0.089683333,0.400014868,0.323812007,40.356,0.418447624,0.403929273,0.458519179,0.420608899,0.420608899
C2,2,recovery,E,cas,2.944,3.364,0.177392143,0.1572624,20.20493151,0.390684932,9.829,0.367096172,6.308,0.048,0.018688889,0.016355556,0.035044444,0.390902894,0.190850701,16.137,0.533291059,0.376582278,0.423864648,0.353548387,0.335652174
C3,2,waterlogged,E,cas,1.012,0.482,0.244326412,0.272778721,21.46092184,0.322645291,3.715,0.269985465,1.494,0.020809211,0.003171053,0.006657895,0.009828947,0.286811288,0.221995761,5.209,0.322623829,0.368173258,0.403508772,0.378186969,0.268170426
C4,2,control,E,cas,7.278,4.217,0.311358289,0.188267333,18.98555276,0.380653266,20.334,0.37719819,11.495,0.104366667,0.023427778,0.040433333,0.063861111,0.361148638,0.211329265,31.829,0.366855154,0.673819742,0.447081158,0.25862069,0.404199475
C5,2,waterlogged,E,cas,1.548,0.753,0.205714286,0.251335113,22.24086604,0.403247632,6.712,0.362399438,2.301,0.038842105,0.004953947,0.010184211,0.015138158,0.255297903,0.17999447,9.013,0.327249022,0.392307692,0.430379747,0.367400881,0.295890411
C6,2,recovery,E,cas,4.754,2.471,0.218434111,0.184416748,21.971285,0.381191673,11.227,0.365557437,7.225,0.056394444,0.013727778,0.026411111,0.040138889,0.391556471,0.235889938,18.452,0.34200692,0.409466566,0.461473328,0.378109453,0.375830013
C7,2,waterlogged,E,cas,0.763,0.229,0.284701493,0.179467085,23.91223733,0.333745365,3.672,0.328150134,0.992,0.020559211,0.001506579,0.005019737,0.006526316,0.212692967,0.190871521,4.664,0.230846774,0.353767561,0.388499299,0.368253968,0.331730769
C8,2,control,E,cas,9.18,5.91,0.31558321,0.260260701,18.12755599,0.309152872,22.786,0.333704344,15.09,0.118055556,0.032833333,0.051,0.083833333,0.398405323,0.17880107,37.876,0.391650099,0.388362069,0.432341651,0.334041047,0.384311791
C9,2,control,E,cas,5.116,5.316,0.310361563,0.252673606,19.15921963,0.337319069,18.006,0.353634346,10.432,0.092872222,0.029533333,0.028422222,0.057955556,0.366833111,0.206264888,28.438,0.50958589,0.377254509,0.411026201,0.380705882,0.359732824
C10,2,recovery,E,cas,3.494,0.874,0.203269533,0.153387153,21.54694682,0.597504924,7.568,0.364599894,4.368,0.034894444,0.004855556,0.019411111,0.024266667,0.365951743,0.180943007,11.936,0.200091575,0.339945897,0.316010059,0.352579853,0.353548387
C11,2,recovery,E,cas,4.628,3.541,0.211720573,0.237030591,22.20326937,0.343994314,9.128,0.344439832,8.169,0.045577778,0.019672222,0.025711111,0.045383333,0.47227843,0.217077281,17.297,0.433467989,0.378006873,0.424710425,0.292639138,0.378186969
C12,2,waterlogged,E,cas,0.898,0.695,0.257675753,0.171477918,17.7920541,0.288250211,4.572,0.320123232,1.593,0.025822368,0.004572368,0.005907895,0.010480263,0.258394161,0.166056809,6.165,0.436283741,0.34,0.373626374,0.335652174,0.25862069
C13,3,recovery,A,cas,3.673,2.186,0.20940707,0.145626541,21.4247714,0.034912718,11.659,0.253076906,5.859,0.058727778,0.012144444,0.020405556,0.03255,0.334455988,0.218592489,17.518,0.373101212,0.355319149,0.39271017,0.353975535,0.367400881
C14,3,control,A,cas,5.749,3.124,0.267706636,0.193556382,23.49090909,0.337373737,14.349,0.343853343,8.873,0.071838889,0.017355556,0.031938889,0.049294444,0.382094565,0.267830998,23.222,0.352079342,0.392054365,0.439882698,0.293522267,0.378109453
C15,3,recovery,A,cas,3.603,1.616,0.239784374,0.131200779,23.73426573,0.411888112,9.929,0.289458341,5.219,0.048766667,0.008977778,0.020016667,0.028994444,0.344533932,0.118355162,15.148,0.309637862,0.370712401,0.413843888,0.263059701,0.368253968
C16,3,control,A,cas,3.855,0.622,0.234161453,0.072527985,21.50901226,0.321557318,8.1,0.32537961,4.477,0.041511111,0.003455556,0.021416667,0.024872222,0.355967242,0.211963883,12.577,0.138932321,0.354085603,0.382352941,0.308924485,0.334041047
C17,3,recovery,A,cas,6.553,3.232,0.231710336,0.16870237,18.54090909,0.352272727,18.784,0.34235515,9.785,0.095333333,0.017955556,0.036405556,0.054361111,0.342504113,0.327191452,28.569,0.330301482,0.3770184,0.422914912,0.443502825,0.380705882
C18,3,recovery,A,cas,5.047,2.49,0.197704481,0.154409029,19.0528757,0.357142857,13.826,0.355369352,7.537,0.070366667,0.013833333,0.028038889,0.041872222,0.352806254,0.250010372,21.363,0.330370174,0.396419437,0.442604226,0.402521823,0.352579853
C19,3,waterlogged,A,cas,1.525,1.18,0.224396704,0.208296558,19.34043746,0.329781268,7.98,0.324218909,2.705,0.045263158,0.007763158,0.010032895,0.017796053,0.253158634,0.220470452,10.685,0.436229205,0.351648352,0.387878788,0.371257485,0.292639138
